ds,yhat,yhat_lower,yhat_upper
2015-01-01,367.6864097065485,267.9008413871355,484.20855878023013
2015-01-02,363.8068553063757,252.92395484747536,469.4100388466109
2015-01-03,352.0133379963688,246.43794111116665,464.63707052909854
2015-01-04,345.5621543720587,237.79392885382364,440.95569684463464
2015-01-05,343.2496667698882,244.4226988446553,454.9294907520242
2015-01-06,343.96602090675617,240.70595276247113,449.6203631175326
2015-01-07,342.7322820104522,238.70250111020704,452.99783355896784
2015-01-08,340.73391034763284,236.68207909226814,440.3823666918592
2015-01-09,333.37822366021345,229.65689326359234,442.86831534762973
2015-01-10,318.50158685360077,218.66711555491858,421.3564317612861
2015-01-11,309.40730581639576,200.0512788204404,411.5484502454093
2015-01-12,304.9307996055384,200.42222267490143,418.08040141677156
2015-01-13,303.99249300675257,200.54608911213265,414.09808108348676
2015-01-14,301.6342935741316,202.91554620896073,404.310791812273
2015-01-15,299.05259150960103,193.02960809862523,407.5423896301277
2015-01-16,291.65544359781234,189.29501398814563,402.80736319086867
2015-01-17,277.269691079143,167.5636202372095,384.8634539759685
2015-01-18,269.1789933912012,160.88511061051523,374.26834105752437
2015-01-19,266.18935235547326,158.55708487793774,367.14060096087434
2015-01-20,267.1825643442892,164.8951892659048,370.59336217549645
2015-01-21,267.153455249022,155.19638459873312,369.8575553552322
2015-01-22,267.24382264517203,162.92073735050866,378.56402655819915
2015-01-23,262.80072796743787,154.3272674551766,366.7694819442373
2015-01-24,251.5848660973403,139.56237122193951,349.44161417520667
2015-01-25,246.80996820123957,134.02230850584226,347.6665040286624
2015-01-26,247.2097832539826,142.59293243547017,351.1802217969637
2015-01-27,251.59304424160928,146.4984756961233,353.24401002565224
2015-01-28,254.88224063859093,149.65505038482877,350.14444388971134
2015-01-29,258.1490874173175,150.84683879934153,361.0736613613439
2015-01-30,256.67429915577924,151.3400409405625,363.18782277771663
2015-01-31,248.15736310841947,141.44666581343088,359.9676295783623
2015-02-01,245.75723506047143,137.6796271826443,350.1711118607349
2015-02-02,248.16047368905657,144.28645754454237,352.3962119437888
2015-02-03,254.1371927536763,157.85929353571618,361.0246432946209
2015-02-04,258.5806297526994,160.90075962173216,366.0668908574135
2015-02-05,262.543202642006,166.04633882444247,368.5709624613455
2015-02-06,261.2966493025079,157.15041010279853,370.77802481445656
2015-02-07,252.5419348961038,143.6297741505743,352.726936884727
2015-02-08,249.4498476059764,141.65498544502526,352.67656006742124
2015-02-09,250.72880067619212,142.93073499729766,352.07362506462283
2015-02-10,255.18022776030568,160.7766574142252,356.5498276983548
2015-02-11,257.73738324049697,151.47982400765991,361.53594738618347
2015-02-12,259.50043718506697,150.570527224451,361.07038911945904
2015-02-13,255.79548233034453,149.3739654796937,357.3687539750276
2015-02-14,244.3831650176344,139.63191850689708,343.5148180489069
2015-02-15,238.49789082176372,140.54257575119627,347.19325829491095
2015-02-16,236.91415574640467,131.97886955961238,337.0151327884844
2015-02-17,238.5004248732326,128.0361906683578,335.6967654384703
2015-02-18,238.25640606856138,129.2983178363163,342.38121309505675
2015-02-19,237.34664453851144,139.89152505249385,356.7810004216399
2015-02-20,231.15809103472554,128.24659908266855,342.6692208516472
2015-02-21,217.5073894737233,112.54040217504641,321.14573000710305
2015-02-22,209.67886612073602,104.24934223855142,315.7645385291307
2015-02-23,206.4897994308098,107.6443083355399,305.9066506554224
2015-02-24,206.84341675888126,106.50296246585843,319.0221849382146
2015-02-25,205.76548537331232,104.11448382748493,312.4716369441793
2015-02-26,204.437438415383,95.55155544802189,305.99169225441034
2015-02-27,198.25369811803773,93.22903591967084,305.52505838771077
2015-02-28,185.02894599285892,79.13217776059264,286.80201100322626
2015-03-01,178.03632043404394,65.82017604668432,290.0625544573149
2015-03-02,176.07311354180342,71.12504049692613,285.49460852600413
2015-03-03,178.01440070185313,69.86549604774858,288.0791276396702
2015-03-04,178.8504526348663,71.0970491353602,283.43241391101645
2015-03-05,179.72084826199838,67.92863660623533,288.8748373850659
2015-03-06,175.97292441068453,65.93730462631743,284.03860123471134
2015-03-07,165.3702824876876,62.2197740283635,272.29029710398936
2015-03-08,161.1323003753095,46.16143088827632,262.21234838656085
2015-03-09,162.00118763890612,51.3607921564216,274.94164022129206
2015-03-10,166.79698279208387,63.59553746835331,275.0159902265595
2015-03-11,170.45630778808894,60.89319549787133,270.77057911442216
2015-03-12,174.0677644119845,71.49549360872123,283.5192104834349
2015-03-13,172.9315767466009,52.38578134841166,279.30527106306556
2015-03-14,164.76917059312171,60.90705072048246,269.6374842371651
2015-03-15,162.76361228352604,59.12078979140677,267.8759539976474
2015-03-16,165.62742297434937,63.012939470255844,265.29518321292045
2015-03-17,172.1581499552498,60.151811797266,282.41825853990485
2015-03-18,177.27749770709752,65.49180043704816,286.23426043124635
2015-03-19,182.0668962719554,74.41294057606835,284.2969294018096
2015-03-20,181.8271093817494,77.878637726697,289.8901115757165
2015-03-21,174.2875769031588,66.98895675088906,271.76438239530904
2015-03-22,172.64642298063393,72.11868825431597,279.38912650621063
2015-03-23,175.63765990653138,62.64777130372169,292.40199002686495
2015-03-24,182.08598778161786,76.24557006311548,275.7163499318143
2015-03-25,186.94501529905918,81.42617562041377,292.008442210883
2015-03-26,191.3318052541624,84.90054090091313,298.74937034954087
2015-03-27,190.58537599422652,81.55361973474213,295.01215050556766
2015-03-28,182.4748840781642,78.92023455802607,283.63474315274755
2015-03-29,180.2384513567215,71.99002952823946,282.60058787709727
2015-03-30,182.64919859327517,72.98292793966299,286.38514178599905
2015-03-31,188.5689171860722,77.85326997530898,291.5743901629679
2015-04-01,192.9852343958584,89.70134424816443,304.53689664848173
2015-04-02,197.0452035330711,91.6987196329639,306.131844423835
2015-04-03,196.1129752253549,88.46180669236425,301.823953330283
2015-04-04,187.9772963524635,84.17005175235956,302.2091042905035
2015-04-05,185.88981704427263,77.79074779882711,298.759407164326
2015-04-06,188.6307804831171,82.92270436762509,289.0879283983523
2015-04-07,195.06253482756907,88.25199684625667,304.00406355875975
2015-04-08,200.16672537690965,89.52036102430881,307.519423287691
2015-04-09,205.0780960716411,92.85904481829924,308.1975557406329
2015-04-10,205.14254911735327,107.0604366467585,310.7783415414924
2015-04-11,198.12519724500854,93.01120376297955,303.16717043342766
2015-04-12,197.249372547787,89.94972965210029,307.05533066784193
2015-04-13,201.26314627464754,85.67946001500565,308.6210265232549
2015-04-14,208.9937752072396,99.72529793591255,316.53484349492294
2015-04-15,215.3859063833547,112.73909249807947,319.43365815859136
2015-04-16,221.53644097032742,103.57545134559773,330.79592861683653
2015-04-17,222.7536766265217,126.56891447786259,335.6785000381842
2015-04-18,216.7664330601617,102.22250395233137,319.78996168974084
2015-04-19,216.76409537654243,113.8571213628562,324.71923512808786
2015-04-20,221.46410148826018,119.81116024242586,325.29160639113286
2015-04-21,229.66726310590337,123.08132049838495,337.2216468069354
2015-04-22,236.2967286497945,130.39838225699464,344.17746379323256
2015-04-23,242.4334687685281,142.10159883710514,347.6504053830005
2015-04-24,243.375887506732,137.94790389545767,352.08095819263997
2015-04-25,236.84925177639735,125.68715194373085,343.1931348582454
2015-04-26,236.04586620290888,121.42447994266601,340.9573365521236
2015-04-27,239.6925168093854,132.45529347035486,348.2917689656849
2015-04-28,246.60557499737544,144.0111319800002,355.73148956687606
2015-04-29,251.72957677366657,146.21785302640555,357.46504162375174
2015-04-30,256.1721689735553,148.5130717260666,363.72811736415616
2015-05-01,255.2630407164914,144.81904306729095,361.10275051135557
2015-05-02,246.76255162965148,138.20520094638243,357.0652525678501
2015-05-03,243.90100594633603,140.42573973561915,350.2595817021306
2015-05-04,245.4451205153943,134.81576899204407,355.41208178648355
2015-05-05,250.25210460980034,145.4706061322915,361.34446270299827
2015-05-06,253.307194045699,145.6458607700996,367.39841323553236
2015-05-07,255.75755930543522,149.89933051382664,356.8453817906272
2015-05-08,252.97023347050128,145.1016679157699,364.0559911985372
2015-05-09,242.73979795820384,134.5174414713936,350.55775639852465
2015-05-10,238.32679981055028,136.91307562514942,350.2944723371256
2015-05-11,238.5234707623747,125.9272437738145,339.35547634079165
2015-05-12,242.20718510073323,137.4102439342914,342.59862973876267
2015-05-13,244.3775144607487,141.96705026422785,351.44591461195114
2015-05-14,246.18981094002615,140.4730553760409,350.96379648463255
2015-05-15,243.01297183872913,131.42528310988249,358.80926447461184
2015-05-16,232.6371271560034,129.87306913319327,338.20467608775937
2015-05-17,228.31222232087043,119.29674721479763,333.94246560801156
2015-05-18,228.81406076796972,117.26434692732207,333.6001925434074
2015-05-19,232.99823363649662,130.49167991071587,340.5396804785201
2015-05-20,235.8377811204329,125.05235177009719,339.6051805064807
2015-05-21,238.45749981854448,128.88627726041565,340.97278126084996
2015-05-22,236.19252939083586,133.29616675916384,345.0066449787192
2015-05-23,226.79693726171294,122.17472567017096,334.2852501351737
2015-05-24,223.48324969012765,121.74093832039324,330.89138521022613
2015-05-25,224.98946855349905,116.3761774639615,331.84390857215266
2015-05-26,230.13397544327896,124.3787109608347,339.1862383279753
2015-05-27,233.85414219192657,125.48477115887351,336.7893898151006
2015-05-28,237.24153771973857,119.84563542429088,345.54280748538173
2015-05-29,235.60134163803065,132.27287213854163,350.3364783915648
2015-05-30,226.66166266216848,121.41136343514698,330.6887482964225
2015-05-31,223.61369217486308,115.31020934041668,324.75280280005217
2015-06-01,225.17921746351155,115.14102345810866,333.65312551679517
2015-06-02,230.16588491731972,120.2264656527075,339.65658378996903
2015-06-03,233.5060247610207,131.2241391849361,333.2211061686195
2015-06-04,236.2919235918444,127.9376034818055,344.09383611111207
2015-06-05,233.83515550040013,131.27651799011946,339.5658929851678
2015-06-06,223.8756740755534,115.9569470288089,334.7768357524009
2015-06-07,219.62160361549437,114.9061935456512,328.34125459593935
2015-06-08,219.816265519836,106.33226215376287,322.833419692722
2015-06-09,223.2928447121906,117.0274644502399,335.11848476115284
2015-06-10,225.0125249116654,115.1332900656133,326.5631547334318
2015-06-11,226.09899843785044,121.44621859823766,336.4729394813477
2015-06-12,221.89698237206258,121.9468553561699,328.54148408166077
2015-06-13,210.18046545160567,104.91571036323815,320.0303774868369
2015-06-14,204.19164652446392,99.49247179697915,304.1660632555456
2015-06-15,202.70712286221766,94.67162972921913,306.55874530753846
2015-06-16,204.5917547257524,98.92127013955007,312.98282947961644
2015-06-17,204.83605520708198,103.66693722531585,310.09968425696695
2015-06-18,204.5900293743439,92.08726743665986,305.62100213639576
2015-06-19,199.22111056527365,94.47288214228612,303.46838792103847
2015-06-20,186.52193151818437,80.59067350161486,288.14979638980896
2015-06-21,179.7489014609089,82.4238260002236,285.353732540683
2015-06-22,177.6881545084482,58.9291519908207,292.6143766233677
2015-06-23,179.2092994465967,59.743470856860505,283.46969595641445
2015-06-24,179.30282020230402,70.61541960186345,284.59362608050225
2015-06-25,179.1140479586849,76.13975684799037,277.1416691431888
2015-06-26,174.00134649159503,65.01392130878901,278.52030370725214
2015-06-27,161.7442391832206,55.219536822900054,262.4315721366386
2015-06-28,155.58243694288694,53.96269463602053,258.9921201835378
2015-06-29,154.28231821624144,57.07359832889065,266.37284149916314
2015-06-30,156.691275141727,55.68957238578264,265.3477912583497
2015-07-01,157.77575776147765,58.805124936456274,270.9090208311221
2015-07-02,158.65591897770645,55.740060755641224,268.90151357197533
2015-07-03,154.6644832065039,48.42592781735812,253.38617482963298
2015-07-04,143.55554871576925,37.21410947867674,260.19135413032797
2015-07-05,138.54426506483938,27.134455158384203,245.72911349757246
2015-07-06,138.3739201412374,30.915912054644586,243.1579794983566
2015-07-07,141.87083572316712,36.408473590210015,246.12483701628605
2015-07-08,143.98289027922732,41.23669837053394,246.17571560756167
2015-07-09,145.81456074840486,35.6069278184067,254.54055230817127
2015-07-10,142.68609780010183,35.95087268901669,241.04043470226517
2015-07-11,132.34253877427005,18.4880694866573,231.9612058405332
2015-07-12,127.99349669328208,21.06379791845155,230.84321920866117
2015-07-13,128.38025716884806,30.363976192792194,232.14047263416077
2015-07-14,132.33059668882578,31.082415741415524,239.28722174579798
2015-07-15,134.79712183656528,30.116391109669852,243.79109217794115
2015-07-16,136.8920527816655,32.215687712327245,243.7645298769007
2015-07-17,133.94606295198378,25.759135671616264,231.6257148750428
2015-07-18,123.71689279680109,20.179682827174403,227.23545976178005
2015-07-19,119.42868874766928,12.801372522219388,221.64627319828497
2015-07-20,119.83861536676605,12.77849159968032,231.0058358314394
2015-07-21,123.79115644322873,21.053327909172854,233.7141843819527
2015-07-22,126.25594335950389,20.99893072099516,231.3296938623649
2015-07-23,128.36202424837325,23.76208401322893,235.0805711718818
2015-07-24,125.45621172150526,30.786176986648446,228.2632204991931
2015-07-25,115.3112374712208,7.227109458489483,217.46779381520903
2015-07-26,111.16467636933102,2.5158034225609733,222.66196843566655
