Date,AQI,PM2.5,PM10,NO,NO2,NOx,NH3,CO,SO2,O3,Benzene,Toluene,Xylene
8/4/2020,334,-0.436185906,18.4762773,3.491055201,10.33811702,32.03691662,22.9173698,0.17408421,4.929874081,28.51293959,0.297285465,12.28099878,0.562379229
8/5/2020,313,1.265936836,22.11427129,4.148703399,10.9014117,32.45259469,22.89204624,0.190103732,5.360630672,29.21721996,0.327873141,12.32128918,0.554587252
8/6/2020,262,3.803079665,25.529537,5.577720737,10.26433761,33.38986776,22.36090333,0.272702443,5.190679301,29.98954436,0.469390531,12.98310752,0.68262893
8/7/2020,303,2.907345803,24.05476313,2.817371304,9.142534696,31.17511198,21.71584239,0.158853597,5.103174131,29.92457432,0.308067337,12.22889934,0.786815419
8/8/2020,329,1.482509059,15.44483122,2.845909296,8.303859663,29.42535418,21.95947553,0.164645078,4.63569048,27.86268121,0.229709172,11.6080215,0.636092951
8/9/2020,323,1.095362674,12.91621752,1.476853079,6.452075336,26.9238721,21.73195009,0.254949089,4.76038622,28.87670292,0.014521026,10.27438134,0.643802634
8/10/2020,266,0.495177439,15.2137927,4.502560971,9.072319497,30.62799799,22.01873637,0.208926358,5.076150536,29.01931774,0.051953422,10.78738736,0.651674997
8/11/2020,319,2.360333674,21.16542654,4.32130495,10.69894888,30.96726316,21.97542471,0.209586726,4.696910883,29.04626342,0.288760034,12.39354972,0.764137799
8/12/2020,334,4.59177394,25.72022465,4.571149164,11.29357654,30.38527249,22.09886602,0.240574121,5.052867505,29.18497361,0.34069071,12.46619733,0.736380241
8/13/2020,342,7.575647115,29.98329703,5.58948192,10.66725156,30.30579575,21.69321258,0.337410573,4.813395247,29.37057509,0.502961687,13.15078454,0.841831312
8/14/2020,341,7.031426415,29.27468086,2.426872278,9.535469665,27.07679608,21.14728496,0.23672301,4.664294053,28.71174429,0.361451824,12.40951879,0.921663598
8/15/2020,377,5.85298968,21.33812901,2.072670683,8.666599782,24.33744235,21.46162334,0.254274913,4.145589998,26.0633917,0.301642592,11.79177233,0.745714725
8/16/2020,391,5.600359576,19.38070911,0.350936878,6.765552569,20.8931045,21.27537167,0.354644754,4.231617531,26.51304774,0.103447393,10.45170451,0.728219914
8/17/2020,358,5.019455886,22.13975345,3.063683496,9.319208341,23.72254546,21.57408989,0.316738263,4.523096249,26.12785366,0.156062588,10.94918985,0.711779378
8/18/2020,327,6.788913395,28.43756557,2.617642289,10.86420181,23.27546515,21.51453942,0.323356174,4.135375266,25.67739602,0.406028947,12.53139131,0.801639853
8/19/2020,365,8.813604525,33.21971125,2.657869965,11.36488413,22.01380353,21.59577671,0.357985216,4.499616515,25.40196782,0.468927434,12.57244662,0.753734207
8/20/2020,352,11.48723331,37.58979545,3.527051469,10.6354141,21.37730683,21.1251131,0.45604686,4.285658366,25.24821021,0.639851113,13.21874211,0.842137595
8/21/2020,317,10.54028309,36.86835055,0.279179655,9.394670002,17.72709302,20.49536945,0.354127369,4.179242277,24.33464391,0.504602054,12.43350654,0.908552149
8/22/2020,320,8.880809972,28.80155154,-0.094962863,8.414570848,14.71227773,20.71178762,0.368011167,3.719805188,21.52406825,0.448631011,11.76718939,0.723212945
8/23/2020,279,8.085787184,26.60070794,-1.771931874,6.403636406,11.14467164,20.41875166,0.46235934,3.880568844,21.90971014,0.251865546,10.3750514,0.700609213
8/24/2020,281,6.920363711,29.00907828,1.047631319,8.852307157,14.0057726,20.60741916,0.41622033,4.260639334,21.56203396,0.303559072,10.81806352,0.683444835
8/25/2020,354,8.084105203,34.85641918,0.765841425,10.3006251,13.7442147,20.44031401,0.412594471,3.973289507,21.2514568,0.55034964,12.34445474,0.776917652
8/26/2020,340,9.503873738,39.09710279,1.021314902,10.71609931,12.81708488,20.42222129,0.435220218,4.447194697,21.21655624,0.607952497,12.32937744,0.736761603
8/27/2020,323,11.59573288,42.84471054,2.14867422,9.915710964,12.65561174,19.86594924,0.519816692,4.349361821,21.39972714,0.771628347,12.92016521,0.836710061
8/28/2020,315,10.11218205,41.43073445,-0.807515812,8.620752218,9.60895977,19.16939303,0.403306249,4.362432883,20.91279708,0.627376309,12.08091604,0.917992185
8/29/2020,310,7.98223505,32.61310719,-0.866961163,7.605089652,7.311184517,19.34226878,0.401839268,4.022563522,18.60957687,0.560869458,11.36286553,0.750254643
8/30/2020,324,6.802071208,29.61551571,-2.217422246,5.578683336,4.556350474,19.03267623,0.480463234,4.299605453,19.57222521,0.352278755,9.921977512,0.747302223
8/31/2020,226,5.35364543,31.19404822,0.928912678,8.032883732,8.306023401,19.23459618,0.418623396,4.789303521,19.85833327,0.391117922,10.31984841,0.751080785
9/1/2020,266,6.3503472,36.1915901,0.962660562,9.508107714,8.987285115,19.11237792,0.399716946,4.601677292,20.22396667,0.62429819,11.80526463,0.865981398
9/2/2020,200,7.729385364,39.57580472,1.511386579,9.97171739,9.034665054,19.1715615,0.407868851,5.162354805,20.89224373,0.667817004,11.75388147,0.846908926
9/3/2020,275,9.913303033,42.47360843,2.899498918,9.240055647,9.856475474,18.72460182,0.479164254,5.135595745,21.78939663,0.817222684,12.31349716,0.966772631
9/4/2020,322,8.65694153,40.22977151,0.162556411,8.033331352,7.77926477,18.16793124,0.350861432,5.201682328,22.01081428,0.658804047,11.44865412,1.066009766
9/5/2020,216,6.887379636,30.61536545,0.273395373,7.123943008,6.415424732,18.50872912,0.339407788,4.89487596,20.39403178,0.578522921,10.71103092,0.913533694
9/6/2020,108,6.194584029,26.86701011,-0.961356772,5.220069559,4.538934554,18.39155615,0.410101205,5.183666164,22.0055336,0.35683533,9.257051241,0.922499208
9/7/2020,197,5.350160507,27.75346823,2.242589464,7.811047773,9.093434332,18.80595734,0.342584253,5.663020464,22.88826389,0.383533907,9.648804824,0.93430776
9/8/2020,238,7.053294791,32.12999992,2.274601366,9.43513448,10.4907587,18.91108612,0.320393406,5.442803426,23.78506982,0.605800417,11.13561883,1.05293073
9/9/2020,274,9.223554131,34.97630985,2.763380933,10.05747414,11.1533091,19.20669006,0.327731535,5.94913123,24.90764513,0.639892455,11.0937469,1.032993385
9/10/2020,315,12.26294399,37.4309926,4.036899757,9.492222406,12.48073787,18.9990205,0.400698689,5.847398173,26.17291044,0.781606246,11.67164873,1.147276616
9/11/2020,307,11.90352457,34.85010426,1.136669995,8.457515447,10.79464783,18.67809687,0.276505228,5.819653039,26.6693196,0.617464517,10.83459162,1.236247019
9/12/2020,208,11.04809537,25.01557673,1.043757191,7.723870724,9.706334918,19.24468811,0.271489768,5.402523552,25.23004929,0.533647315,10.13503673,1.069006655
9/13/2020,165,11.26166244,21.17442487,-0.424895765,5.99784519,7.992552158,19.33716219,0.350784211,5.56741599,26.91993297,0.310811507,8.730236332,1.059055043
9/14/2020,188,11.29105364,22.10529074,2.527141045,8.767467901,12.6034861,19.93930105,0.293813285,5.912699788,27.78302826,0.338931464,9.183136829,1.04828616
9/15/2020,217,13.8117448,26.67273499,2.30287372,10.57004333,13.96107853,20.20512646,0.28385055,5.552046852,28.5660415,0.565349794,10.74392632,1.141298787
9/16/2020,191,16.72154017,29.86510629,2.545757941,11.3701444,14.50107742,20.6300709,0.304798991,5.915693933,29.48717667,0.606462158,10.78969433,1.093463192
9/17/2020,240,20.40347382,32.82889312,3.599203674,10.98174493,15.63929904,20.51704972,0.392430951,5.673366795,30.47234703,0.758178087,11.46967742,1.17840171
9/18/2020,229,20.57420863,30.92718572,0.520381143,10.12318102,13.71581673,20.2538598,0.283611197,5.511546721,30.62124297,0.607106798,10.7498229,1.237494413
9/19/2020,248,20.12541495,21.94796563,0.305747005,9.565527252,12.36211854,20.84026262,0.294325314,4.971280427,28.78021936,0.539485877,10.18313466,1.040801863
9/20/2020,204,20.61581864,19.14317421,-1.213125987,8.016214563,10.37622871,20.91489904,0.389355362,5.028263498,30.02887117,0.335998629,8.927228768,1.002798339
9/21/2020,271,20.7912624,21.29510726,1.773573339,10.96440821,14.73000307,21.46313038,0.34778992,5.284910215,30.42719611,0.386612646,9.545194936,0.966339113
9/22/2020,290,23.33182461,27.27054894,1.680517915,12.94874405,15.86675103,21.64185017,0.352590158,4.85858259,30.73857881,0.638628516,11.28710426,1.036941012
9/23/2020,340,26.14562519,32.05848017,2.160685869,13.93524453,16.24258891,21.95060009,0.387379741,5.182749929,31.19817544,0.708362804,11.52963248,0.970820156
9/24/2020,358,29.63167524,36.80427047,3.564484604,13.73936686,17.29202749,21.6975476,0.487693038,4.929820437,31.74865003,0.8916073,12.42127386,1.04234529
9/25/2020,287,29.52804282,36.86798628,0.953237851,13.08087595,15.3715296,21.2767527,0.390205173,4.788327974,31.50576879,0.774813621,11.92687967,1.093518733
9/26/2020,323,28.75281732,30.03253879,1.324465376,12.73213113,14.12609923,21.69508496,0.410765882,4.300677238,29.33082879,0.744021147,11.59798645,0.894877712
9/27/2020,360,28.89556842,29.54262826,0.507547519,11.40161692,12.36391479,21.59894271,0.514078937,4.44317932,30.31680259,0.57967417,10.59036294,0.861210129
9/28/2020,268,28.73665466,34.17103754,4.306770411,14.57923942,17.06323204,21.98187444,0.479214126,4.818091897,30.53510947,0.67146089,11.46487278,0.835508907
9/29/2020,283,30.99344252,42.7726935,5.127964517,16.80398975,18.66972202,22.0091526,0.489173357,4.541837817,30.75825883,0.966363271,13.4689942,0.923244591
9/30/2020,309,33.61308641,50.32233615,6.612057252,18.04179857,19.63765847,22.18864056,0.52767866,5.046173778,31.2279544,1.080341935,13.97646611,0.880400357
10/1/2020,249,37.03425203,57.94870896,9.094399272,18.10753698,21.39546393,21.83651718,0.630416605,5.001050541,31.89061842,1.308798142,15.13253611,0.980928025
10/2/2020,245,37.03408437,60.99290682,7.61854311,17.71985804,20.28935289,21.35429376,0.534262759,5.091847162,31.86284845,1.237761962,14.8985439,1.066237054
10/3/2020,229,36.5679346,57.21660705,9.16189757,17.64946973,19.95013271,21.75549219,0.555308295,4.857181402,30.00378739,1.252824614,14.82230488,0.906109124
10/4/2020,234,37.25957607,59.84114237,9.531841336,16.60267051,19.16817004,21.69214307,0.658530729,5.269026675,31.40129008,1.13396083,14.05572174,0.914432035
