ds,yhat,yhat_lower,yhat_upper
2015-01-01,51.74847963779875,30.967185968461852,71.06581464120146
2015-01-02,50.61792468631564,32.1613699843568,71.71270208551238
2015-01-03,49.68486291027239,29.760895245784322,70.43265528174071
2015-01-04,47.65251098348741,26.8170231559529,67.13256121815068
2015-01-05,50.00745111944914,29.95768708094366,72.43298069562388
2015-01-06,51.28746246026728,32.00979119704797,70.06116259304913
2015-01-07,51.4594989450075,31.50736742454027,70.96474208288107
2015-01-08,50.34176382342588,30.29005252964563,70.71693633544824
2015-01-09,48.65857162004779,27.967202465539945,68.91604657100739
2015-01-10,47.188586008432054,26.6667468982716,68.85244177621237
2015-01-11,44.648263710757384,23.541016520575546,64.86905111472832
2015-01-12,46.5370270532289,27.26276951915672,67.51198358599333
2015-01-13,47.404768333271164,27.538860051227708,67.05201162934831
2015-01-14,47.22951293247711,26.598534668841957,67.89986025404973
2015-01-15,45.839199724888175,24.417522812433184,66.36442593569352
2015-01-16,43.96627754449899,22.437845002559246,63.73303562227177
2015-01-17,42.395713487041284,20.744881470304616,62.038757198839704
2015-01-18,39.84824962650597,19.966161774354845,60.211251705967776
2015-01-19,41.82543620968503,21.03675098076996,62.08507368099175
2015-01-20,42.87704872605618,22.6808452749215,64.96523978766602
2015-01-21,42.978718711109956,22.156640704154263,63.5607142024464
2015-01-22,41.953738346704505,20.571781754817618,62.33179468872039
2015-01-23,40.52773767206043,19.173402351272816,59.6172321711296
2015-01-24,39.47682875021656,20.216505986647824,59.561452464758595
2015-01-25,37.511050484825944,17.467212031783667,56.71436769277028
2015-01-26,40.11963787417112,21.361474534095787,60.09109663867655
2015-01-27,41.83871753470305,20.743429649587387,60.5318183341389
2015-01-28,42.629252636636856,21.555819141275297,63.290158769960755
2015-01-29,42.299189619363574,22.37113342598129,61.78872608824404
2015-01-30,41.5584970217711,21.658000875023554,60.2943115697583
2015-01-31,41.16768173110046,20.136265952867603,61.557087965510675
2015-02-01,39.821606978272136,18.82371581287174,59.75370483975397
2015-02-02,42.995126419825205,22.618834424327638,63.4677644578486
2015-02-03,45.21112686286116,26.595090301458484,65.67266692447109
2015-02-04,46.418793916462654,25.966045546769582,64.93245070176239
2015-02-05,46.41604473182984,26.823173290972274,64.07740567102981
2015-02-06,45.90481083365403,25.145832074889206,65.67165275495343
2015-02-07,45.639750083692654,26.736904695056445,65.28472364211896
2015-02-08,44.31220708038494,24.24377474869426,64.6649362175107
2015-02-09,47.39593268494439,27.236096920687157,66.69770898433684
2015-02-10,49.4151530538745,28.548441043596466,69.66438559189645
2015-02-11,50.32280181805583,29.55841715877843,70.0326473496928
2015-02-12,49.922860478421384,29.21441360685495,68.65257845440811
2015-02-13,48.92549245658915,28.308942745089723,68.84858193599068
2015-02-14,48.09555374026456,26.960073538575756,68.22427714152803
2015-02-15,46.13630468544568,27.0387827577857,66.29065845047016
2015-02-16,48.53484014205571,28.036252861476562,68.39380352141396
2015-02-17,49.82983580390326,28.52110292242157,69.16617714759859
2015-02-18,49.98943278680296,30.601571529263076,70.18003354554467
2015-02-19,48.83321448692716,29.016786649252197,68.5659751794884
2015-02-20,47.08697051724125,26.25773737512053,66.41019386796486
2015-02-21,45.53084014852253,24.28533216886013,64.31535564367113
2015-02-22,42.88266917624448,23.739891376889524,63.59174925351574
2015-02-23,44.64310636324892,25.633331779647772,64.49520213007929
2015-02-24,45.36304572674861,25.197649826489616,63.539359685205596
2015-02-25,45.02124420442784,25.267791726849794,66.55517559018777
2015-02-26,43.44607524768412,23.994063580651066,64.21651137800633
2015-02-27,41.37011843213583,21.240753978749623,61.339852955699506
2015-02-28,39.57818146393509,19.741602586770036,59.58264684373738
2015-03-01,36.79059101729522,16.929705199763976,56.361868881532516
2015-03-02,38.50827956950439,18.02990717059832,58.59296259081357
2015-03-03,39.28027400353744,19.83104205425089,60.969832016906004
