ds,yhat,yhat_lower,yhat_upper
2015-01-01,6.5806699493794145,0.2622305846833748,12.68824403487099
2015-01-02,6.575449004412002,0.3539772259762933,13.684830347313016
2015-01-03,6.182204202797459,-0.5309534004140679,12.124582556469022
2015-01-04,6.371980120452868,0.0038104011570211337,13.042923098600161
2015-01-05,6.742617233160127,0.02602319699930026,13.585582219598157
2015-01-06,6.407089205961897,0.19329649996751433,13.014152112625508
2015-01-07,6.794767901878855,0.36370527255854274,12.872082482699293
2015-01-08,6.574354995012043,-0.2013278553757391,12.660860527879684
2015-01-09,6.431160766450489,0.13269206467506972,13.161282244344724
2015-01-10,5.90493104366485,-0.6588197032131007,12.163519693353704
2015-01-11,5.9699521758484515,-0.5169920575609009,12.671995784968104
2015-01-12,6.227146561638408,-0.3325479881355855,12.463346989664773
2015-01-13,5.792331089530921,-0.767111791113157,12.151681734071577
2015-01-14,6.097409204276278,-0.6009473903494483,12.189830413706364
2015-01-15,5.813237452973439,-0.8483623603956756,11.894576721443073
2015-01-16,5.62684883636686,-0.8405830393234868,12.13299232339302
2015-01-17,5.079235403728089,-0.9615343675496458,11.99287388626369
2015-01-18,5.145421152051861,-1.1356312542096825,11.429767519516862
2015-01-19,5.4265385739685845,-0.8795378434642446,11.768446069352292
2015-01-20,5.038081681139225,-1.3500964680962706,11.388303334309839
2015-01-21,5.411106310631357,-1.3784007778513072,11.53559862200244
2015-01-22,5.215118289853306,-1.755259663379882,11.748854608752183
2015-01-23,5.13533114534728,-1.4811969426837568,11.536479369786218
2015-01-24,4.710494812124949,-2.059009803878425,11.145554896636535
2015-01-25,4.913025111008702,-1.5810486827002483,11.365050546783252
2015-01-26,5.341145772101621,-1.2529227201016535,11.710074328793215
2015-01-27,5.1072140376895945,-1.1785687138329548,11.280159824629518
2015-01-28,5.638998683340023,-1.1604158951845194,11.858780357519763
2015-01-29,5.6026489449462815,-1.2658512275507465,12.82757519017486
2015-01-30,5.680033889330739,-1.0154880111812696,12.114717725957883
2015-01-31,5.4066515375460975,-1.5539678210914338,11.725707472396095
2015-02-01,5.751835420560061,-0.2994818203442481,12.203564504350167
2015-02-02,6.31096837443313,-0.30321910202850705,12.75788005504587
2015-02-03,6.193872807358704,-0.2725022242292944,12.24413390865916
